variant,simulation_id,ring,radius_mm,groove_overlap,ring_mass_flow_kg_s,ring_mass_flux_kg_m2s,ring_dp_Pa,groove_dp_Pa,outlet_gas_K
apparent_prescribed_v9,E80,2,1.6079403131111056,0.0,4.1622183482893285e-6,0.6166249404873078,79.45470359470929,0.0,499.32885789345204
apparent_prescribed_v9,E80,3,2.6799005218518426,0.0,6.909219884093407e-6,0.6141528785860807,79.01506062984654,0.0,499.09687771509607
apparent_prescribed_v9,E80,4,3.7518607305925795,0.0,9.614505375314285e-6,0.6104447857342401,78.35748195760945,0.0,498.747929915515
apparent_prescribed_v9,E80,5,4.8238209393333165,0.0,1.226138840411867e-5,0.6055006619317862,77.48421754734011,0.0,498.2807937713416
apparent_prescribed_v9,E80,6,5.895781148074053,0.0,1.4833182552673285e-5,0.5993205071787188,76.39824660411784,0.0,497.6937615454447
apparent_prescribed_v9,E80,7,6.96774135681479,0.9409271337274929,1.731320140314485e-5,0.5919043214750378,75.10326144119823,0.0,496.9845684696222
apparent_prescribed_v9,E80,8,8.039701565555527,1.0,1.96847585377001e-5,0.5832521048207432,73.60364932857544,0.0,496.1503033197434
apparent_prescribed_v9,E80,9,9.111661774296264,1.0,2.19311675385057e-5,0.5733638572158354,71.90447356042958,0.0,495.18729798838774
apparent_prescribed_v9,E80,10,10.183621983037002,1.0,2.4035741987728426e-5,0.5622395786603139,70.01145515801768,0.0,494.0909938180551
apparent_prescribed_v9,E81,1,0.5359801043703685,0.0,9.514909266389548e-7,0.42288485628397987,54.31637451101781,0.0,518.6986672471323
apparent_prescribed_v9,E81,2,1.6079403131111056,0.0,2.848762406763743e-6,0.42203887507611,54.168799343096595,0.0,518.5603080084446
apparent_prescribed_v9,E81,3,2.6799005218518426,0.0,4.728902767429163e-6,0.42034691266037005,53.87412215457405,0.0,518.2831520257042
apparent_prescribed_v9,E81,4,3.7518607305925795,0.0,6.580491262328976e-6,0.4178089690367603,53.43328645328421,0.0,517.8663065907193
apparent_prescribed_v9,E81,5,4.8238209393333165,0.0,8.392107145156932e-6,0.41442504420528065,52.84770070920845,0.0,517.3083881662857
apparent_prescribed_v9,E81,6,5.895781148074053,0.0,1.015232966960679e-5,0.410195138165931,52.11923068923856,0.0,516.6074683382406
apparent_prescribed_v9,E81,7,6.96774135681479,0.9409271337274929,1.1849738089372305e-5,0.4051192509187115,51.250190028483175,0.0,515.7610005296019
apparent_prescribed_v9,E81,8,8.039701565555527,1.0,1.347291165814725e-5,0.3991973824636219,50.24332968636144,0.0,514.7657262449111
apparent_prescribed_v9,E81,9,9.111661774296264,1.0,1.5010429629625338e-5,0.3924295328006625,49.10182706630921,0.0,513.6175590737816
apparent_prescribed_v9,E81,10,10.183621983037002,1.0,1.6450871257500373e-5,0.3848157019298332,47.82927569796142,0.0,512.311443992745
graetz_fd361_prescribed,E67,1,0.5359801043703685,0.0,3.219702151093543e-6,1.4309787338193525,274.350247628435,0.0,700.3103955077371
graetz_fd361_prescribed,E67,2,1.6079403131111056,0.0,9.639783409613153e-6,1.4281160606834298,273.7973949716782,0.0,700.294433068286
graetz_fd361_prescribed,E67,3,2.6799005218518426,0.0,1.6001895537130324e-5,1.4223907144115844,272.6923946925791,0.0,700.2626111057034
graetz_fd361_prescribed,E67,4,3.7518607305925795,0.0,2.2267392446310114e-5,1.4138026950038165,271.03661791480647,0.0,700.2151285216775
graetz_fd361_prescribed,E67,5,4.8238209393333165,0.0,2.839762804981754e-5,1.4023520024601255,268.8320258348627,0.0,700.1522663404251
graetz_fd361_prescribed,E67,6,5.895781148074053,0.0,3.435395626031767e-5,1.3880386367805122,266.08106028367433,0.0,700.0743668926206
graetz_fd361_prescribed,E67,7,6.96774135681479,0.9409271337274929,4.0097730990475533e-5,1.3708625979649762,262.7865061065487,0.0,699.9818059648306
graetz_fd361_prescribed,E67,8,8.039701565555527,1.0,4.559030615295625e-5,1.3508238860135173,258.95133194887336,0.0,699.8749577124988
graetz_fd361_prescribed,E67,9,9.111661774296264,1.0,5.0793035660424686e-5,1.3279225009261357,254.57851711927256,0.0,699.754151929724
