stage,evaluation,objective,transient_loss,steady_loss,radial_loss,axial_loss,cooling_loss,side_solid_fraction,side_gas_heat_fraction,active_side_conductance_W_K_m,side_felt_contact_h_W_m2K,beta_opt_1_m,heat_transfer_scale,power_scale_456,power_scale_304,power_scale_256
heating_shape,15,5.371295605294448,1.535471048385544,2.6925593809870088,1.7220777037122976,0.7373125323785006,0.4474928546616102,0.075,0.0225,30.0,5.0,75.0,1.8,1.25,1.05,0.77
heating_shape,16,5.403741643729288,1.4004507843668317,2.478148474248462,1.7288249273962217,1.4762083288759347,0.4474928546616102,0.075,0.0225,30.0,5.0,150.0,0.75,1.25,1.05,0.77
heating_shape,17,5.335081922497875,1.403543677295676,2.4751277598182693,1.728366836649658,1.2423441165047548,0.4474928546616102,0.075,0.0225,30.0,5.0,150.0,1.2,1.25,1.05,0.77
heating_shape,18,5.3015448753895225,1.4002046191853237,2.463678019448326,1.727763530532148,1.1561504241355796,0.4474928546616102,0.075,0.0225,30.0,5.0,150.0,1.8,1.25,1.05,0.77
heating_shape,19,5.5404731002512255,1.3616394995626453,2.4161097247022063,1.7278811126531868,2.1281086232244455,0.4474928546616102,0.075,0.0225,30.0,5.0,250.0,0.75,1.25,1.05,0.77
heating_shape,20,5.457368654550846,1.3623604528215585,2.4075944843094956,1.7274592375226907,1.859315242738663,0.4474928546616102,0.075,0.0225,30.0,5.0,250.0,1.2,1.25,1.05,0.77
heating_shape,21,5.418739621309116,1.3576402539063543,2.3932130419464315,1.7266133071413408,1.764896889253385,0.4474928546616102,0.075,0.0225,30.0,5.0,250.0,1.8,1.25,1.05,0.77
heating_shape,22,5.61972644070734,1.3456562225745203,2.390557423160299,1.7275281095115416,2.4728813319553735,0.4474928546616102,0.075,0.0225,30.0,5.0,400.0,0.75,1.25,1.05,0.77
heating_shape,23,5.5315630156870315,1.345011487358471,2.379050338068304,1.7266607402592733,2.196996297294516,0.4474928546616102,0.075,0.0225,30.0,5.0,400.0,1.2,1.25,1.05,0.77
heating_shape,24,5.492068428209102,1.3394440640177447,2.363031121877591,1.7258324619913017,2.1040663577010736,0.4474928546616102,0.075,0.0225,30.0,5.0,400.0,1.8,1.25,1.05,0.77
heating_shape,25,16.536583485020053,1.5042154225110378,2.6561858691063054,7.318712239033076,9.693553924192305,0.6987555319396388,0.15,0.0225,2.0,5.0,75.0,0.75,1.25,1.05,0.77
heating_shape,26,16.53951722730036,1.5056360341510266,2.651107079073979,7.387663360729293,9.358920874544603,0.6987555319396388,0.15,0.0225,2.0,5.0,75.0,1.2,1.25,1.05,0.77
heating_shape,27,16.540010557696704,1.503326808550902,2.642337071106259,7.418614205940759,9.222278509776551,0.6987555319396388,0.15,0.0225,2.0,5.0,75.0,1.8,1.25,1.05,0.77
heating_shape,28,18.712240922138697,1.5289782009655062,2.7462618798920815,7.407369526674431,16.32984033741366,0.6987555319396388,0.15,0.0225,2.0,5.0,150.0,0.75,1.25,1.05,0.77
heating_shape,29,18.69451012446411,1.5285200914840642,2.736713295651759,7.475861204717969,15.939354904125809,0.6987555319396388,0.15,0.0225,2.0,5.0,150.0,1.2,1.25,1.05,0.77
heating_shape,30,18.692421276503957,1.5251849022004487,2.7256408814898028,7.508952904063242,15.789123292639621,0.6987555319396388,0.15,0.0225,2.0,5.0,150.0,1.8,1.25,1.05,0.77
heating_shape,31,19.665871299653322,1.5507539742219256,2.8041756475385387,7.409375437436801,19.368079030149374,0.6987555319396388,0.15,0.0225,2.0,5.0,250.0,0.75,1.25,1.05,0.77
heating_shape,32,19.649285253947383,1.5497852712292097,2.7928156281890506,7.47960898056535,18.97621352481205,0.6987555319396388,0.15,0.0225,2.0,5.0,250.0,1.2,1.25,1.05,0.77
heating_shape,33,19.650260173278156,1.546127476559613,2.7808952254401387,7.513801235690461,18.832615031936644,0.6987555319396388,0.15,0.0225,2.0,5.0,250.0,1.8,1.25,1.05,0.77
heating_shape,34,20.06029621515671,1.5588739678081174,2.82631848544197,7.4050276697408215,20.655358103783165,0.6987555319396388,0.15,0.0225,2.0,5.0,400.0,0.75,1.25,1.05,0.77
heating_shape,35,20.047658710610808,1.557582479613959,2.8141407650617336,7.476676727942723,20.271470478648084,0.6987555319396388,0.15,0.0225,2.0,5.0,400.0,1.2,1.25,1.05,0.77
heating_shape,36,20.050422192512777,1.5537093529948063,2.801334935905849,7.510747039195918,20.136046779941744,0.6987555319396388,0.15,0.0225,2.0,5.0,400.0,1.8,1.25,1.05,0.77
heating_shape,37,6.829741036980954,1.4524803314653263,2.548576684960246,2.504498959734496,2.0464748531097676,0.483993608985758,0.15,0.0225,10.0,5.0,75.0,0.75,1.25,1.05,0.77
heating_shape,38,6.7854924739904385,1.457297812378815,2.5499343562699224,2.519779844389971,1.8051592788427042,0.483993608985758,0.15,0.0225,10.0,5.0,75.0,1.2,1.25,1.05,0.77
