stage,evaluation,objective,transient_loss,steady_loss,radial_loss,axial_loss,cooling_loss,lateral_conductivity_scale,edge_felt_contact_scale,beam_sigma_mm,beta_opt_1_m,heat_transfer_scale,power_scale_456,power_scale_304,power_scale_256
shape,94,18.05084178314561,2.426196359386635,3.9140773257880515,6.52386014960137,2.9415970665493694,1.0404456137100218,0.05,0.3,30.0,100.0,0.75,1.25,1.05,0.77
shape,95,17.825550591257688,2.4682964038554513,3.975434475966257,6.397101135367512,2.8339958900744247,1.0404456137100218,0.05,0.3,30.0,100.0,1.2,1.25,1.05,0.77
shape,96,17.665480773281484,2.4827614280291166,3.9941970880776756,6.313741354929524,2.7891823403833533,1.0404456137100218,0.05,0.3,30.0,100.0,1.8,1.25,1.05,0.77
shape,97,18.002266372377274,2.403909388294272,3.8867007354231955,6.324785604846614,4.208509156359344,1.0404456137100218,0.05,0.3,30.0,150.0,0.75,1.25,1.05,0.77
shape,98,17.820735866713616,2.445919464572785,3.9478715604129837,6.222357815575938,4.085054986700156,1.0404456137100218,0.05,0.3,30.0,150.0,1.2,1.25,1.05,0.77
shape,99,17.678987585707265,2.460075948028349,3.9654221235145437,6.149531067521079,4.033333529091277,1.0404456137100218,0.05,0.3,30.0,150.0,1.8,1.25,1.05,0.77
shape,100,18.08085754108651,2.389230698757048,3.871886580812742,6.183677427385718,5.474944021530633,1.0404456137100218,0.05,0.3,30.0,250.0,0.75,1.25,1.05,0.77
shape,101,17.93298910293539,2.431468719222195,3.9323635995437707,6.098307861481669,5.349909246772385,1.0404456137100218,0.05,0.3,30.0,250.0,1.2,1.25,1.05,0.77
shape,102,17.80400609637829,2.4452051149364418,3.94864519717613,6.03218789686254,5.298696072363072,1.0404456137100218,0.05,0.3,30.0,250.0,1.8,1.25,1.05,0.77
shape,103,18.109609293425095,2.3788056591621096,3.8588359027833143,6.113896903730488,6.08378749704002,1.0404456137100218,0.05,0.3,30.0,400.0,0.75,1.25,1.05,0.77
shape,104,17.978414419774044,2.42124033952995,3.9186263116873272,6.035948081231303,5.964890724734272,1.0404456137100218,0.05,0.3,30.0,400.0,1.2,1.25,1.05,0.77
shape,105,17.859457073764517,2.434843976688244,3.934572065302748,5.974567863027241,5.916276481919857,1.0404456137100218,0.05,0.3,30.0,400.0,1.8,1.25,1.05,0.77
shape,106,16.69077677860806,1.9443586164453324,3.3197875677282744,6.424641851944193,1.5644974398051423,0.8636979120286422,0.05,1.0,100.0,50.0,0.75,1.25,1.05,0.77
shape,107,16.639653564856705,1.965233338393233,3.3477002870000927,6.393309520137697,1.5054738135791044,0.8636979120286422,0.05,1.0,100.0,50.0,1.2,1.25,1.05,0.77
