equivalent_strength,exponent,raw_coefficient,reference_reynolds,simulation_id,irradiance_kW_m2,mean_flow_lpm,model_T12_minus_T8_K,observed_T12_minus_T8_K,model_T12_minus_T9_K,observed_T12_minus_T9_K,model_T11_minus_T10_K,observed_T11_minus_T10_K,model_T3_K,observed_T3_K,front_to_gas_W,mean_front_h_W_m2K,mean_gas_preheat_K,mass_flow_kg_s,dp1_model_mbar,dp1_observed_mbar
2.0,1.5,0.027243858325761337,73.41104097978786,E75,304.0,6.944410852713178,-81.54049015750775,-29.036000000000058,-1.6106768731752936,25.510999999999967,-0.9271813014538566,31.284999999999968,668.2036462139665,681.066,13.5313963020448,148.7975083736289,92.78076246974929,0.0001389184238282461,0.6841358815801887,0.651
2.0,1.5,0.027243858325761337,73.41104097978786,E76,304.0,4.526673611111114,-113.9899606374895,-97.221,-2.1567818318580976,23.119000000000028,-1.183518701532421,24.84999999999991,687.2190771351486,647.019,8.816781699259487,78.67169319978917,92.49040849918391,9.081819469341913e-5,0.2029536106627422,0.174
2.0,1.5,0.027243858325761337,73.41104097978786,E77,256.0,13.84748387096774,-1.8754799869875,57.805999999999926,-0.2936986221675397,20.920999999999935,-0.20202526525753228,30.572000000000003,433.63128408380646,525.356,9.893602920979621,419.05260398445387,33.98521509880297,0.00027711654472435665,0.860324905654099,0.978
2.0,1.5,0.027243858325761337,73.41104097978786,E78,256.0,10.009137614678897,-20.626969097321194,54.129999999999995,-0.4082663354553233,22.18399999999997,-0.2668663958643265,28.388000000000034,470.3339686115981,554.4549999999999,8.956995131729034,257.3015985671829,42.55905440677115,0.0002003242487927985,0.5329481635659307,0.637
2.0,1.5,0.027243858325761337,73.41104097978786,E79,256.0,8.033490566037736,-38.03573085561504,39.89499999999998,-0.5129828097650488,22.04499999999996,-0.32394468961490475,26.559000000000083,493.12953789677647,560.0329999999999,8.148479626764694,185.422207041436,48.22917260454238,0.00016086765484359764,0.341001222390228,0.403
2.0,1.5,0.027243858325761337,73.41104097978786,E80,256.0,6.605050847457628,-55.65757990175791,25.01699999999994,-0.624185179197525,22.118000000000052,-0.3817520750154699,24.714999999999918,512.1831938170383,561.2539999999999,7.269775672525067,138.0530050605812,52.390105549462625,0.00013213557121730338,0.19212355224177302,0.238
2.0,1.5,0.027243858325761337,73.41104097978786,E81,256.0,4.527140495867768,-88.09297013226819,-10.158999999999878,-0.8641677511960779,21.39800000000014,-0.499128326323671,21.208999999999946,539.2671725513743,550.499,5.381255059239336,78.07317959334227,56.65735388624266,9.043803481256982e-5,-0.04878152070635855,-0.023
4.0,0.5,4.0,73.41104097978786,E67,456.0,15.2805125,34.86038345721943,59.47500000000002,-1.257715275237274,24.437000000000012,-0.801665603775632,53.059999999999945,659.6199648004401,763.414,35.78017871804649,629.2466762359801,109.81856346561467,0.0003060287040836849,2.8445038352011496,2.712
4.0,0.5,4.0,73.41104097978786,E68,456.0,12.499871559633025,34.55778219132014,35.0680000000001,-1.6043902343635636,26.7890000000001,-0.9956586228646529,48.652000000000044,713.5203920899695,773.207,38.06585409440917,570.9659442979198,142.9569866842036,0.00025000514269536727,2.4100402531084537,2.004
4.0,0.5,4.0,73.41104097978786,E69,456.0,10.499733944954128,31.463822249157715,12.30099999999993,-1.9432039386109636,26.35200000000009,-1.1848668100806208,43.918000000000006,755.9464502275318,769.76,39.38723931952809,521.9504573896207,175.91540956848752,0.00021028843935400635,2.0547595146224746,1.542
