simulation_id,r_mm,z_mm,T_solid_K,T_gas_K,h_W_m2K
E75,18.645000000000003,35.62,1295.0570775793308,1323.3248229417984,177.613373262708
E75,18.645000000000003,41.099999999999994,1267.5628485455659,1295.8879649739802,175.17088748883708
E75,18.645000000000003,46.58,1239.8807155618092,1268.4304143066056,172.69080946523593
E75,18.645000000000003,52.06,1211.88072848852,1240.7925619087023,170.15865060979743
E75,18.645000000000003,57.54,1183.4829003876666,1212.844574486265,167.5628949720969
E75,18.645000000000003,63.019999999999996,1154.6525752125062,1184.50581492873,164.89585223083026
E75,18.645000000000003,68.5,1125.391161961994,1155.7408949897347,162.15325454189556
E75,18.645000000000003,73.97999999999999,1095.7276430129994,1126.5506005716072,159.33362579754342
E75,18.645000000000003,79.46000000000001,1065.711986527039,1096.9634142333593,156.43773517563017
E75,18.645000000000003,84.93999999999998,1035.4102394602337,1067.0288887277702,153.4681909594827
E75,18.645000000000003,90.42,1004.9007896590888,1036.8126939351603,150.42915064073011
E75,18.645000000000003,95.90000000000002,974.2713509183403,1006.3928403448143,147.32610809294036
E75,18.645000000000003,101.38,943.6163827967285,975.856635559586,144.1657252900783
E75,18.645000000000003,106.86000000000001,913.0348276352041,945.298083505271,140.9556894002621
E75,18.645000000000003,112.33999999999999,882.6282355515052,914.8156039191034,137.7045930293234
E75,18.645000000000003,117.82000000000001,852.4996322120403,884.5101335295055,134.42186103747264
E75,18.645000000000003,123.30000000000001,822.7540630233904,854.4839425109016,131.1177984661285
E75,18.645000000000003,128.78,793.5029883781244,824.8410466940064,127.80394659960544
E75,18.645000000000003,134.26,764.8766498795095,795.6912605248795,124.49414084802298
E75,22.035,2.7399999999999998,1365.4928802214665,296.71049999999997,198.4297313531757
E75,22.035,8.22,1381.935182907495,1348.1694468175979,182.49769926432876
E75,22.035,13.700000000000001,1375.4441632047458,1381.0209512843626,183.6343989174533
E75,22.035,19.18,1359.2784832059513,1375.5923043432385,182.70365807438674
E75,22.035,24.66,1338.5833460891804,1359.7186665545657,181.1184463402445
E75,22.035,30.14,1315.4581741665086,1339.1690146621274,179.210000770076
E75,22.035,35.62,1290.8193978031627,1316.1366374332035,177.10760397686872
E75,22.035,41.099999999999994,1265.0956673499202,1291.5699262722424,174.86724978365086
E75,22.035,46.58,1238.5046643841881,1265.9107084296093,172.51448938809207
E75,22.035,52.06,1211.1706659884283,1239.382596821138,170.06156263040728
E75,22.035,57.54,1183.1773910555532,1212.1127276236443,167.51480314153542
E75,22.035,63.019999999999996,1154.5929274260518,1184.1862766400236,164.87804776006084
E75,22.035,68.5,1125.4819405392552,1155.6721000631978,162.15430053689965
E75,22.035,73.97999999999999,1095.911746252023,1126.635262403858,159.34659098322442
E75,22.035,79.46000000000001,1065.9552061049055,1097.143256646462,156.45843703686913
E75,22.035,84.93999999999998,1035.691823054569,1067.2689691102757,153.4940979252144
E75,22.035,90.42,1005.2077131690338,1037.0918090731216,150.45870270302913
