variant,simulation_id,phase,sensor,rmse_K,steady_error_K,t90_error_s,shape_loss
initial_apparent_nu,E79,heating,T11_minus_T8,205.17170280460556,-229.24645084720316,0.0,0.010797709689012688
initial_apparent_nu,E80,heating,T8,107.62966604907471,102.16321419482608,-450.0,0.0008093488247590283
initial_apparent_nu,E80,heating,T12_wall,101.55179770012793,-115.10987215690602,-350.0,3.602569013331175e-5
initial_apparent_nu,E80,heating,T11_wall,89.16894350280282,-111.41995450355978,-350.0,2.1040798706940516e-5
initial_apparent_nu,E80,heating,T3,76.5837304613293,-106.94391215311447,-1650.0,0.0001298933995615836
initial_apparent_nu,E80,heating,T2,2.111403209359212,-0.5980376978117761,-150.0,1.5065836475556452e-5
initial_apparent_nu,E80,heating,T12_minus_T8,202.22899048146257,-217.2730863517321,0.0,0.04800926913452077
initial_apparent_nu,E80,heating,T11_minus_T8,188.96829760111868,-213.58316869838586,0.0,0.005824674206080794
initial_apparent_nu,E81,heating,T8,108.46915882925904,100.19524783980194,-550.0,0.0006798686408634593
initial_apparent_nu,E81,heating,T12_wall,77.39859421283992,-90.05654575170195,-500.0,3.176563317161649e-5
initial_apparent_nu,E81,heating,T11_wall,58.19132923955354,-76.72209243579925,-500.0,1.975758574755141e-5
initial_apparent_nu,E81,heating,T3,66.3262351459373,-95.76386347968884,-1800.0,0.00013528125671415106
initial_apparent_nu,E81,heating,T2,2.8352115721807456,0.6879095517383575,-150.0,2.1782552211429736e-5
initial_apparent_nu,E81,heating,T12_minus_T8,176.24300364043208,-190.25179359150388,0.0,0.041546212089413684
initial_apparent_nu,E81,heating,T11_minus_T8,156.2240452183247,-176.9173402756012,0.0,0.0033165468290871658
initial_apparent_nu,C69,cooling,T8,64.17271714393861,57.57808123527252,0.0,0.0002721319577029104
initial_apparent_nu,C69,cooling,T12_wall,51.2891205250926,57.3940706345748,-150.0,0.0005333431674332399
initial_apparent_nu,C69,cooling,T11_wall,62.17782110914174,76.1214990389945,100.0,0.00016119863436108865
initial_apparent_nu,C69,cooling,T3,102.91118295564657,6.687323608680117,-400.0,0.0006661715722735477
initial_apparent_nu,C69,cooling,T2,4.132927568654408,7.789082968809453,0.0,0.0002277935641424283
initial_apparent_nu,C69,cooling,T12_minus_T8,56.15488902211176,-0.18401060069771802,0.0,0.017425765683267543
initial_apparent_nu,C69,cooling,T11_minus_T8,47.97111335713003,18.54341780372198,0.0,0.0019855792008414493
initial_apparent_nu,C80,cooling,T8,28.648201115481367,22.37434434758717,400.0,5.563347948186235e-5
initial_apparent_nu,C80,cooling,T12_wall,25.376257272656762,18.75128118789462,100.0,0.0003605482926701344
initial_apparent_nu,C80,cooling,T11_wall,19.79112275610322,20.32605911192536,150.0,6.644716499581055e-5
initial_apparent_nu,C80,cooling,T3,62.15453327132462,-4.885516132629505,-300.0,0.00025636526712862336
initial_apparent_nu,C80,cooling,T2,1.9911133886795531,3.8544296594344587,50.0,6.0781214650048685e-5
initial_apparent_nu,C80,cooling,T12_minus_T8,31.73385352683914,-3.623063159692549,0.0,0.01186038539126226
initial_apparent_nu,C80,cooling,T11_minus_T8,21.903425828420204,-2.048285235661808,0.0,0.0005170788452904009
initial_apparent_nu,C81,cooling,T8,25.49427777039345,11.99998884403152,950.0,6.854028275531108e-6
initial_apparent_nu,C81,cooling,T12_wall,23.90622988608021,10.621255655039306,350.0,0.0001720094212028058
initial_apparent_nu,C81,cooling,T11_wall,14.64908319449318,9.86423810364272,350.0,5.7552617684958304e-5
initial_apparent_nu,C81,cooling,T3,58.470929682740696,-3.563047914151923,-350.0,0.00011337149061872784
initial_apparent_nu,C81,cooling,T2,3.4525855814451765,4.491912223105203,200.0,8.753991968807765e-6
initial_apparent_nu,C81,cooling,T12_minus_T8,28.307948509652793,-1.3787331889922143,0.0,0.00490050458722313
initial_apparent_nu,C81,cooling,T11_minus_T8,20.442796837622275,-2.1357507403888008,0.0,7.228907070414391e-5
