%z[mm]	ϕ=0.1	ϕ=0.3	ϕ=0.5	ϕ=0.7	ϕ=0.9
268.0	660.0351521635994	698.8793935107572	720.2455157256817	717.1264066984255	721.6609972808812
269.0	659.8706824290769	698.2915175460741	719.5470053884485	716.4383613770905	720.9310126836779
270.0	659.7062126945542	697.7036415813914	718.863892340899	715.7612337960743	720.2175312724183
271.0	659.5417429600317	697.1302105915156	718.1807792933495	715.0841062150582	719.5090008169419
272.0	659.3772732255092	696.5652766456438	717.5003478873996	714.4230669930542	718.8082327437045
273.0	659.2206461292823	696.0003426997721	716.8386879726467	713.7699043634831	718.1375439016425
274.0	659.0640190330554	695.4354087539004	716.1770280578936	713.1167417339119	717.4668550595804
275.0	658.9073919368285	694.8851566185659	715.5153681431407	712.4831369060194	716.8080186242936
276.0	658.7507648406016	694.3360790280744	714.8733165274217	711.8523484015684	716.1558195368004
277.0	658.5941377443747	693.7870014375828	714.2312649117027	711.2228674426293	715.5044577356683
278.0	658.4432826090917	693.2423948839189	713.5892132959837	710.6090770298312	714.8631433708678
